id, retning, from address,from nr, from zip, from lon, from lat, to address,to nr, to zip, to lon, to lat, fejlkode, rutenavn, meter, sekunder, hastighed, sek ved std hastighed
42,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Njalsgade,104,2300,55.6614798739102,12.587573985937,0,Kronprinsessegade,3789,1027,13.281791626095425,831
43,arbejde > hjem,Njalsgade,104,2300,55.6614798739102,12.587573985937,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Amagerfælledvej,3789,1033,13.204646660212973,831
44,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Kaj Munks Vej,3,2300,55.6586791992504,12.5912429891562,0,Kronprinsessegade,3763,1010,13.412673267326733,826
45,arbejde > hjem,Kaj Munks Vej,3,2300,55.6586791992504,12.5912429891562,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Amagerfælledvej,3754,1012,13.35415019762846,824
46,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Ørestads Boulevard,88,2300,55.6300408608624,12.5791309668835,0,Amagerfælledvej,7132,1853,13.856017269293039,1565
47,arbejde > hjem,Ørestads Boulevard,88,2300,55.6300408608624,12.5791309668835,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Ørestads Boulevard,7129,1853,13.850188882892608,1564
48,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,H. C. Andersens Boulevard,18,1553,55.67534,12.56802,0,Kronprinsessegade,1981,595,11.985882352941177,434
49,arbejde > hjem,H. C. Andersens Boulevard,18,1553,55.67534,12.56802,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Møntergade,1985,628,11.378980891719745,435
50,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Øster Farimagsgade,5,1353,55.68724418275476,12.570408582687378,0,Kronprinsessegade,1291,354,13.128813559322035,283
51,arbejde > hjem,Øster Farimagsgade,5,1353,55.68724418275476,12.570408582687378,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Øster Farimagsgade,1294,357,13.04873949579832,284
52,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,A. C. Meyers Vænge,15,2450,55.65047,12.54293,0,Kronprinsessegade,5915,1578,13.494296577946768,1298
53,arbejde > hjem,A. C. Meyers Vænge,15,2450,55.65047,12.54293,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Vasbygade / O2,5995,1570,13.746496815286624,1315
54,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Vesterbrogade,118,1620,55.671343910241966,12.544192671775818,0,Kronprinsessegade,3532,983,12.935096642929807,775
55,arbejde > hjem,Vesterbrogade,118,1620,55.671343910241966,12.544192671775818,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Vesterbrogade,3671,1022,12.931115459882584,805
